"행정구역(동읍면)별","5세별","항목","단위","2019.11 월",
"사직동","10 - 14세","남자인구수[명]","명","175",
"사직동","10 - 14세","여자인구수[명]","명","193",
"사직동","15 - 19세","총인구수[명]","명","373",
"사직동","15 - 19세","남자인구수[명]","명","170",
"사직동","15 - 19세","여자인구수[명]","명","203",
"사직동","20 - 24세","총인구수[명]","명","511",
"사직동","20 - 24세","남자인구수[명]","명","236",
"사직동","20 - 24세","여자인구수[명]","명","275",
"사직동","25 - 29세","총인구수[명]","명","719",
"사직동","25 - 29세","남자인구수[명]","명","328",
"사직동","25 - 29세","여자인구수[명]","명","391",
"사직동","30 - 34세","총인구수[명]","명","687",
"사직동","30 - 34세","남자인구수[명]","명","321",
"사직동","30 - 34세","여자인구수[명]","명","366",
"사직동","35 - 39세","총인구수[명]","명","693",
"사직동","35 - 39세","남자인구수[명]","명","291",
"사직동","35 - 39세","여자인구수[명]","명","402",
"사직동","40 - 44세","총인구수[명]","명","700",
"사직동","40 - 44세","남자인구수[명]","명","284",
"사직동","40 - 44세","여자인구수[명]","명","416",
"사직동","45 - 49세","총인구수[명]","명","822",
"사직동","45 - 49세","남자인구수[명]","명","391",
"사직동","45 - 49세","여자인구수[명]","명","431",
"사직동","50 - 54세","총인구수[명]","명","760",
"사직동","50 - 54세","남자인구수[명]","명","329",
"사직동","50 - 54세","여자인구수[명]","명","431",
"사직동","55 - 59세","총인구수[명]","명","769",
"사직동","55 - 59세","남자인구수[명]","명","349",
"사직동","55 - 59세","여자인구수[명]","명","420",
"사직동","60 - 64세","총인구수[명]","명","675",
"사직동","60 - 64세","남자인구수[명]","명","314",
"사직동","60 - 64세","여자인구수[명]","명","361",
"사직동","65 - 69세","총인구수[명]","명","445",
"사직동","65 - 69세","남자인구수[명]","명","197",
"사직동","65 - 69세","여자인구수[명]","명","248",
"사직동","70 - 74세","총인구수[명]","명","414",
"사직동","70 - 74세","남자인구수[명]","명","174",
"사직동","70 - 74세","여자인구수[명]","명","240",
"사직동","75 - 79세","총인구수[명]","명","372",
"사직동","75 - 79세","남자인구수[명]","명","167",
"사직동","75 - 79세","여자인구수[명]","명","205",
"사직동","80 - 84세","총인구수[명]","명","290",
"사직동","80 - 84세","남자인구수[명]","명","120",
"사직동","80 - 84세","여자인구수[명]","명","170",
"사직동","85 - 89세","총인구수[명]","명","138",
"사직동","85 - 89세","남자인구수[명]","명","54",
"사직동","85 - 89세","여자인구수[명]","명","84",
"사직동","90 - 94세","총인구수[명]","명","66",
"사직동","90 - 94세","남자인구수[명]","명","29",
"사직동","90 - 94세","여자인구수[명]","명","37",
"사직동","95 - 99세","총인구수[명]","명","21",
"사직동","95 - 99세","남자인구수[명]","명","8",
"사직동","95 - 99세","여자인구수[명]","명","13",
"사직동","100+","총인구수[명]","명","18",
"사직동","100+","남자인구수[명]","명","4",
"사직동","100+","여자인구수[명]","명","14",
"삼청동","계","총인구수[명]","명","2753",
"삼청동","계","남자인구수[명]","명","1322",
"삼청동","계","여자인구수[명]","명","1431",
"삼청동","0 - 4세","총인구수[명]","명","48",
"삼청동","0 - 4세","남자인구수[명]","명","21",
"삼청동","0 - 4세","여자인구수[명]","명","27",
"삼청동","5 - 9세","총인구수[명]","명","57",
"삼청동","5 - 9세","남자인구수[명]","명","25",
"삼청동","5 - 9세","여자인구수[명]","명","32",
"삼청동","10 - 14세","총인구수[명]","명","106",
"삼청동","10 - 14세","남자인구수[명]","명","68",
"삼청동","10 - 14세","여자인구수[명]","명","38",
"삼청동","15 - 19세","총인구수[명]","명","103",
"삼청동","15 - 19세","남자인구수[명]","명","59",
"삼청동","15 - 19세","여자인구수[명]","명","44",
"삼청동","20 - 24세","총인구수[명]","명","171",
"삼청동","20 - 24세","남자인구수[명]","명","89",
"삼청동","20 - 24세","여자인구수[명]","명","82",
"삼청동","25 - 29세","총인구수[명]","명","183",
"삼청동","25 - 29세","남자인구수[명]","명","91",
"삼청동","25 - 29세","여자인구수[명]","명","92",
"삼청동","30 - 34세","총인구수[명]","명","182",
"삼청동","30 - 34세","남자인구수[명]","명","87",
"삼청동","30 - 34세","여자인구수[명]","명","95",
"삼청동","35 - 39세","총인구수[명]","명","211",
"삼청동","35 - 39세","남자인구수[명]","명","106",
"삼청동","35 - 39세","여자인구수[명]","명","105",
"삼청동","40 - 44세","총인구수[명]","명","183",
"삼청동","40 - 44세","남자인구수[명]","명","96",
"삼청동","40 - 44세","여자인구수[명]","명","87",
"삼청동","45 - 49세","총인구수[명]","명","198",
"삼청동","45 - 49세","남자인구수[명]","명","92",
"삼청동","45 - 49세","여자인구수[명]","명","106",
"삼청동","50 - 54세","총인구수[명]","명","203",
"삼청동","50 - 54세","남자인구수[명]","명","93",
"삼청동","50 - 54세","여자인구수[명]","명","110",
"삼청동","55 - 59세","총인구수[명]","명","237",
"삼청동","55 - 59세","남자인구수[명]","명","117",
"삼청동","55 - 59세","여자인구수[명]","명","120",
"삼청동","60 - 64세","총인구수[명]","명","232",
"삼청동","60 - 64세","남자인구수[명]","명","110",
"삼청동","60 - 64세","여자인구수[명]","명","122",
"삼청동","65 - 69세","총인구수[명]","명","167",
"삼청동","65 - 69세","남자인구수[명]","명","79",
"삼청동","65 - 69세","여자인구수[명]","명","88",
"삼청동","70 - 74세","총인구수[명]","명","152",
"삼청동","70 - 74세","남자인구수[명]","명","67",
"삼청동","70 - 74세","여자인구수[명]","명","85",
"삼청동","75 - 79세","총인구수[명]","명","140",
"삼청동","75 - 79세","남자인구수[명]","명","62",
"삼청동","75 - 79세","여자인구수[명]","명","78",
"삼청동","80 - 84세","총인구수[명]","명","88",
"삼청동","80 - 84세","남자인구수[명]","명","30",
"삼청동","80 - 84세","여자인구수[명]","명","58",
"삼청동","85 - 89세","총인구수[명]","명","59",
"삼청동","85 - 89세","남자인구수[명]","명","17",
"삼청동","85 - 89세","여자인구수[명]","명","42",
"삼청동","90 - 94세","총인구수[명]","명","18",
"삼청동","90 - 94세","남자인구수[명]","명","9",
