시군구명,법정동코드,동리명,시간대구분,기준일ID,행정동코드,총생활인구수,10대 미만,10대,20대,30대,40대,50대,60대,70대 이상
관악구,11620101,봉천동,3,20220616.166666668,11620581.666666666,26524.06873148148,1366.2127913580246,1933.8232444444445,1933.8232444444445,1933.8232444444445,1933.8232444444445,1933.8232444444445,1933.8232444444445,1933.8232444444445
관악구,11620101,봉천동,4,20220616.166666668,11620581.666666666,26445.309183950616,1359.2937932098766,1929.466487037037,1929.466487037037,1929.466487037037,1929.466487037037,1929.466487037037,1929.466487037037,1929.466487037037
관악구,11620101,봉천동,5,20220616.166666668,11620581.666666666,26232.151183333335,1360.1447320987654,1932.5091839506174,1932.5091839506174,1932.5091839506174,1932.5091839506174,1932.5091839506174,1932.5091839506174,1932.5091839506174
관악구,11620101,봉천동,6,20220616.166666668,11620581.666666666,25698.448520987655,1357.450211111111,1932.5835179012347,1932.5835179012347,1932.5835179012347,1932.5835179012347,1932.5835179012347,1932.5835179012347,1932.5835179012347
관악구,11620101,봉천동,7,20220616.166666668,11620581.666666666,24642.91724567901,1351.7661808641976,1982.1270777777777,1982.1270777777777,1982.1270777777777,1982.1270777777777,1982.1270777777777,1982.1270777777777,1982.1270777777777
관악구,11620101,봉천동,8,20220616.166666668,11620581.666666666,22638.402935802467,1376.5475327160493,1975.476024691358,1975.476024691358,1975.476024691358,1975.476024691358,1975.476024691358,1975.476024691358,1975.476024691358
관악구,11620101,봉천동,9,20220616.166666668,11620581.666666666,21014.52604876543,1368.588888271605,1918.701164197531,1918.701164197531,1918.701164197531,1918.701164197531,1918.701164197531,1918.701164197531,1918.701164197531
관악구,11620101,봉천동,10,20220616.166666668,11620581.666666666,20308.808195061727,1368.8588864197532,1883.2341679012345,1883.2341679012345,1883.2341679012345,1883.2341679012345,1883.2341679012345,1883.2341679012345,1883.2341679012345
관악구,11620101,봉천동,11,20220616.166666668,11620581.666666666,20016.413792592593,1364.0009654320988,1874.2664179012347,1874.2664179012347,1874.2664179012347,1874.2664179012347,1874.2664179012347,1874.2664179012347,1874.2664179012347
관악구,11620101,봉천동,12,20220616.166666668,11620581.666666666,19785.05448271605,1364.0533,1862.7093049382718,1862.7093049382718,1862.7093049382718,1862.7093049382718,1862.7093049382718,1862.7093049382718,1862.7093049382718
관악구,11620101,봉천동,13,20220616.166666668,11620581.666666666,19442.34910308642,1361.72182654321,1828.6270450617285,1828.6270450617285,1828.6270450617285,1828.6270450617285,1828.6270450617285,1828.6270450617285,1828.6270450617285
관악구,11620101,봉천동,14,20220616.166666668,11620581.666666666,19360.823410493827,1353.234062962963,1812.8306432098766,1812.8306432098766,1812.8306432098766,1812.8306432098766,1812.8306432098766,1812.8306432098766,1812.8306432098766
관악구,11620101,봉천동,15,20220616.166666668,11620581.666666666,19570.0284808642,1368.2531765432097,1822.4920425925927,1822.4920425925927,1822.4920425925927,1822.4920425925927,1822.4920425925927,1822.4920425925927,1822.4920425925927
관악구,11620101,봉천동,16,20220616.166666668,11620581.666666666,19890.358746296293,1364.6609179012346,1793.8534746913579,1793.8534746913579,1793.8534746913579,1793.8534746913579,1793.8534746913579,1793.8534746913579,1793.8534746913579
관악구,11620101,봉천동,17,20220616.166666668,11620581.666666666,20628.833374074075,1359.77685,1815.1344345679013,1815.1344345679013,1815.1344345679013,1815.1344345679013,1815.1344345679013,1815.1344345679013,1815.1344345679013
관악구,11620101,봉천동,18,20220616.166666668,11620581.666666666,22024.167014814815,1354.5372654320988,1835.425490123457,1835.425490123457,1835.425490123457,1835.425490123457,1835.425490123457,1835.425490123457,1835.425490123457
관악구,11620101,봉천동,19,20220616.166666668,11620581.666666666,23185.68280493827,1349.471424074074,1841.1036425925925,1841.1036425925925,1841.1036425925925,1841.1036425925925,1841.1036425925925,1841.1036425925925,1841.1036425925925
관악구,11620101,봉천동,20,20220616.166666668,11620581.666666666,23904.95139506173,1357.0760308641975,1854.2673216049382,1854.2673216049382,1854.2673216049382,1854.2673216049382,1854.2673216049382,1854.2673216049382,1854.2673216049382
관악구,11620101,봉천동,21,20220616.166666668,11620581.666666666,24597.022262962964,1360.0634969135801,1866.2131148148148,1866.2131148148148,1866.2131148148148,1866.2131148148148,1866.2131148148148,1866.2131148148148,1866.2131148148148
관악구,11620101,봉천동,22,20220616.166666668,11620581.666666666,25310.419519135805,1355.4209,1905.4092697530864,1905.4092697530864,1905.4092697530864,1905.4092697530864,1905.4092697530864,1905.4092697530864,1905.4092697530864
관악구,11620101,봉천동,23,20220616.166666668,11620581.666666666,26338.478836419752,1378.4134938271604,1943.8689191358026,1943.8689191358026,1943.8689191358026,1943.8689191358026,1943.8689191358026,1943.8689191358026,1943.8689191358026
관악구,11620102,신림동,0,20220616.166666668,11620709.545454545,23723.13100757576,905.8240338383838,1359.764290909091,1359.764290909091,1359.764290909091,1359.764290909091,1359.764290909091,1359.764290909091,1359.764290909091
관악구,11620102,신림동,1,20220616.166666668,11620709.545454545,23950.9163969697,914.5735712121211,1368.2645176767676,1368.2645176767676,1368.2645176767676,1368.2645176767676,1368.2645176767676,1368.2645176767676,1368.2645176767676
관악구,11620102,신림동,2,20220616.166666668,11620709.545454545,24024.586178282825,918.2623242424243,1372.1185045454545,1372.1185045454545,1372.1185045454545,1372.1185045454545,1372.1185045454545,1372.1185045454545,1372.1185045454545
관악구,11620102,신림동,3,20220616.166666668,11620709.545454545,24070.131508080805,922.0327313131313,1374.0406929292928,1374.0406929292928,1374.0406929292928,1374.0406929292928,1374.0406929292928,1374.0406929292928,1374.0406929292928
관악구,11620102,신림동,4,20220616.166666668,11620709.545454545,24078.635326262625,924.126637878788,1375.4536722222222,1375.4536722222222,1375.4536722222222,1375.4536722222222,1375.4536722222222,1375.4536722222222,1375.4536722222222
관악구,11620102,신림동,5,20220616.166666668,11620709.545454545,23834.179231818183,922.2528787878788,1371.6507383838386,1371.6507383838386,1371.6507383838386,1371.6507383838386,1371.6507383838386,1371.6507383838386,1371.6507383838386
관악구,11620102,신림동,6,20220616.166666668,11620709.545454545,23405.72579040404,915.561601010101,1360.983046969697,1360.983046969697,1360.983046969697,1360.983046969697,1360.983046969697,1360.983046969697,1360.983046969697
관악구,11620102,신림동,7,20220616.166666668,11620709.545454545,22725.282803535352,905.1109464646464,1378.6377136363637,1378.6377136363637,1378.6377136363637,1378.6377136363637,1378.6377136363637,1378.6377136363637,1378.6377136363637
관악구,11620102,신림동,8,20220616.166666668,11620709.545454545,21239.881084343433,878.3797313131313,1369.614593939394,1369.614593939394,1369.614593939394,1369.614593939394,1369.614593939394,1369.614593939394,1369.614593939394
관악구,11620102,신림동,9,20220616.166666668,11620709.545454545,20494.030086868686,876.0685247474747,1385.4932343434343,1385.4932343434343,1385.4932343434343,1385.4932343434343,1385.4932343434343,1385.4932343434343,1385.4932343434343
관악구,11620102,신림동,10,20220616.166666668,11620709.545454545,20312.941847474747,877.7918388888888,1409.0171782828284,1409.0171782828284,1409.0171782828284,1409.0171782828284,1409.0171782828284,1409.0171782828284,1409.0171782828284
관악구,11620102,신림동,11,20220616.166666668,11620709.545454545,20123.47380909091,879.8526883838384,1414.6560388888888,1414.6560388888888,1414.6560388888888,1414.6560388888888,1414.6560388888888,1414.6560388888888,1414.6560388888888
관악구,11620102,신림동,12,20220616.166666668,11620709.545454545,20011.939745454547,886.1888621212122,1424.6203792929293,1424.6203792929293,1424.6203792929293,1424.6203792929293,1424.6203792929293,1424.6203792929293,1424.6203792929293
관악구,11620102,신림동,13,20220616.166666668,11620709.545454545,19954.373316666668,895.9417242424242,1432.9461808080807,1432.9461808080807,1432.9461808080807,1432.9461808080807,1432.9461808080807,1432.9461808080807,1432.9461808080807
관악구,11620102,신림동,14,20220616.166666668,11620709.545454545,19932.17768838384,899.0063601010102,1436.711021717172,1436.711021717172,1436.711021717172,1436.711021717172,1436.711021717172,1436.711021717172,1436.711021717172
관악구,11620102,신림동,15,20220616.166666668,11620709.545454545,20003.68644191919,898.5065919191919,1428.3162555555555,1428.3162555555555,1428.3162555555555,1428.3162555555555,1428.3162555555555,1428.3162555555555,1428.3162555555555
관악구,11620102,신림동,16,20220616.166666668,11620709.545454545,20107.5175010101,890.8851449494949,1402.8345313131313,1402.8345313131313,1402.8345313131313,1402.8345313131313,1402.8345313131313,1402.8345313131313,1402.8345313131313
관악구,11620102,신림동,17,20220616.166666668,11620709.545454545,20329.319719191917,886.4563616161616,1358.2543767676768,1358.2543767676768,1358.2543767676768,1358.2543767676768,1358.2543767676768,1358.2543767676768,1358.2543767676768
관악구,11620102,신림동,18,20220616.166666668,11620709.545454545,21194.117965151512,887.7822267676767,1339.2528767676768,1339.2528767676768,1339.2528767676768,1339.2528767676768,1339.2528767676768,1339.2528767676768,1339.2528767676768
관악구,11620102,신림동,19,20220616.166666668,11620709.545454545,22049.811405555556,893.0672409090909,1344.6822277777778,1344.6822277777778,1344.6822277777778,1344.6822277777778,1344.6822277777778,1344.6822277777778,1344.6822277777778
관악구,11620102,신림동,20,20220616.166666668,11620709.545454545,22577.85129090909,896.6998424242424,1350.4590686868687,1350.4590686868687,1350.4590686868687,1350.4590686868687,1350.4590686868687,1350.4590686868687,1350.4590686868687
관악구,11620102,신림동,21,20220616.166666668,11620709.545454545,23019.685216666665,899.1448611111111,1349.399421212121,1349.399421212121,1349.399421212121,1349.399421212121,1349.399421212121,1349.399421212121,1349.399421212121
관악구,11620102,신림동,22,20220616.166666668,11620709.545454545,23495.217088888887,910.2023217171718,1364.8983242424245,1364.8983242424245,1364.8983242424245,1364.8983242424245,1364.8983242424245,1364.8983242424245,1364.8983242424245
관악구,11620102,신림동,23,20220616.166666668,11620709.545454545,23500.198301515153,898.4846944444445,1345.651162121212,1345.651162121212,1345.651162121212,1345.651162121212,1345.651162121212,1345.651162121212,1345.651162121212
관악구,11620103,남현동,0,20220616.166666668,11620630.0,24500.801683333335,1712.3092833333333,1538.4096166666668,1538.4096166666668,1538.4096166666668,1538.4096166666668,1538.4096166666668,1538.4096166666668,1538.4096166666668
관악구,11620103,남현동,1,20220616.166666668,11620630.0,24975.12041111111,1749.6030444444445,1591.4631555555557,1591.4631555555557,1591.4631555555557,1591.4631555555557,1591.4631555555557,1591.4631555555557,1591.4631555555557
관악구,11620103,남현동,2,20220616.166666668,11620630.0,25134.49753333333,1772.164811111111,1608.3769,1608.3769,1608.3769,1608.3769,1608.3769,1608.3769,1608.3769
관악구,11620103,남현동,3,20220616.166666668,11620630.0,25269.081816666665,1780.2107277777777,1620.2667444444444,1620.2667444444444,1620.2667444444444,1620.2667444444444,1620.2667444444444,1620.2667444444444,1620.2667444444444
관악구,11620103,남현동,4,20220616.166666668,11620630.0,25861.5564,1828.4983944444446,1665.1723555555554,1665.1723555555554,1665.1723555555554,1665.1723555555554,1665.1723555555554,1665.1723555555554,1665.1723555555554
관악구,11620103,남현동,5,20220616.166666668,11620630.0,26066.63575,1824.4401944444444,1661.9432888888887,1661.9432888888887,1661.9432888888887,1661.9432888888887,1661.9432888888887,1661.9432888888887,1661.9432888888887
관악구,11620103,남현동,6,20220616.166666668,11620630.0,26339.171227777777,1813.5186999999999,1653.9676111111112,1653.9676111111112,1653.9676111111112,1653.9676111111112,1653.9676111111112,1653.9676111111112,1653.9676111111112
관악구,11620103,남현동,7,20220616.166666668,11620630.0,25679.19856111111,1728.1009666666666,1510.3349833333332,1510.3349833333332,1510.3349833333332,1510.3349833333332,1510.3349833333332,1510.3349833333332,1510.3349833333332
관악구,11620103,남현동,8,20220616.166666668,11620630.0,23239.538894444446,1205.2413888888889,1261.8896222222222,1261.8896222222222,1261.8896222222222,1261.8896222222222,1261.8896222222222,1261.8896222222222,1261.8896222222222
관악구,11620103,남현동,9,20220616.166666668,11620630.0,21921.185344444446,1183.7524777777778,1246.6731833333333,1246.6731833333333,1246.6731833333333,1246.6731833333333,1246.6731833333333,1246.6731833333333,1246.6731833333333
관악구,11620103,남현동,10,20220616.166666668,11620630.0,21224.383383333334,1162.6944833333334,1223.9157944444444,1223.9157944444444,1223.9157944444444,1223.9157944444444,1223.9157944444444,1223.9157944444444,1223.9157944444444
관악구,11620103,남현동,11,20220616.166666668,11620630.0,20959.946450000003,1168.138988888889,1203.3327333333334,1203.3327333333334,1203.3327333333334,1203.3327333333334,1203.3327333333334,1203.3327333333334,1203.3327333333334
관악구,11620103,남현동,12,20220616.166666668,11620630.0,20778.059455555558,1143.1694666666667,1159.4805944444443,1159.4805944444443,1159.4805944444443,1159.4805944444443,1159.4805944444443,1159.4805944444443,1159.4805944444443
관악구,11620103,남현동,13,20220616.166666668,11620630.0,20690.040183333334,1141.5640722222224,1180.6434222222224,1180.6434222222224,1180.6434222222224,1180.6434222222224,1180.6434222222224,1180.6434222222224,1180.6434222222224
관악구,11620103,남현동,14,20220616.166666668,11620630.0,20734.647366666664,1181.8770388888888,1168.0560055555554,1168.0560055555554,1168.0560055555554,1168.0560055555554,1168.0560055555554,1168.0560055555554,1168.0560055555554
관악구,11620103,남현동,15,20220616.166666668,11620630.0,20981.921266666664,1256.8954833333332,1188.596988888889,1188.596988888889,1188.596988888889,1188.596988888889,1188.596988888889,1188.596988888889,1188.596988888889
관악구,11620103,남현동,16,20220616.166666668,11620630.0,21789.341844444443,1359.8544333333334,1243.4165777777778,1243.4165777777778,1243.4165777777778,1243.4165777777778,1243.4165777777778,1243.4165777777778,1243.4165777777778
관악구,11620103,남현동,17,20220616.166666668,11620630.0,23109.120533333335,1454.0833277777776,1304.3410277777778,1304.3410277777778,1304.3410277777778,1304.3410277777778,1304.3410277777778,1304.3410277777778,1304.3410277777778
관악구,11620103,남현동,18,20220616.166666668,11620630.0,24838.06342222222,1433.1596333333334,1296.9799555555555,1296.9799555555555,1296.9799555555555,1296.9799555555555,1296.9799555555555,1296.9799555555555,1296.9799555555555
관악구,11620103,남현동,19,20220616.166666668,11620630.0,25260.3754,1467.3755722222222,1333.2301555555557,1333.2301555555557,1333.2301555555557,1333.2301555555557,1333.2301555555557,1333.2301555555557,1333.2301555555557
관악구,11620103,남현동,20,20220616.166666668,11620630.0,25667.89142777778,1539.9536444444445,1388.0774833333335,1388.0774833333335,1388.0774833333335,1388.0774833333335,1388.0774833333335,1388.0774833333335,1388.0774833333335
관악구,11620103,남현동,21,20220616.166666668,11620630.0,26044.91261666667,1623.7999333333332,1443.51305,1443.51305,1443.51305,1443.51305,1443.51305,1443.51305,1443.51305
