시군구명,법정동코드,동리명,시간대구분,기준일ID,행정동코드,총생활인구수,남성 10대 미만,남성 10대 ,남성 20대 ,남성 30대 ,남성 40대 ,남성 50대 ,남성 60대 ,남성 70대 이상,여성 10대 미만,여성 10대 ,여성 20대 ,여성 30대 ,여성 40대 ,여성 50대 ,여성 60대 ,여성 70대 이상
성북구,11290120,동선동5가,0,20220616.166666668,11290575.0,3125.4120340277777,65.08869861111111,119.9684326388889,324.68917986111114,225.07026041666666,204.62524375,176.38510416666665,103.98341736111111,102.435,73.24692847222222,208.69725694444443,555.7220006944444,241.0560298611111,232.73080069444444,191.01191944444443,129.66187986111112,171.03985277777778
성북구,11290120,동선동5가,1,20220616.166666668,11290575.0,3089.4552131944447,64.54311388888888,118.22467222222222,316.62902569444446,220.8563201388889,200.90576180555556,176.49394652777778,102.6792875,102.19647291666666,72.44764097222223,205.39745208333335,551.1097756944445,238.46004930555557,230.43577083333332,189.98154930555555,129.19816736111113,169.89620347222223
성북구,11290120,동선동5가,2,20220616.166666668,11290575.0,3067.714342361111,64.35129791666667,116.43780277777779,310.51395486111113,218.56440763888887,199.23486180555557,176.06543472222222,102.6301201388889,101.98783819444445,71.81045069444446,204.63625416666665,547.67265625,237.96744583333333,229.0495951388889,188.55621041666666,129.51345833333335,168.72259305555556
성북구,11290120,동선동5가,3,20220616.166666668,11290575.0,3049.0377652777775,63.770245833333334,113.79049097222222,305.73214375000003,217.37764652777776,195.94608125,174.78675416666667,101.31809791666666,101.72527291666667,72.40529791666667,204.14483472222224,544.1445944444445,237.55271319444444,227.9297451388889,188.45440208333332,130.47491736111112,169.4845326388889
성북구,11290120,동선동5가,4,20220616.166666668,11290575.0,3066.4871298611115,63.7673263888889,113.21668125000001,303.1851798611111,217.67194861111113,196.2643263888889,178.18411388888887,105.70778055555554,103.68931597222223,72.28155833333334,204.2508861111111,543.0084173611111,237.79973194444443,225.98332916666666,193.02601180555556,135.1357375,173.31477777777778
성북구,11290120,동선동5가,5,20220616.166666668,11290575.0,3056.7480958333335,63.76963125,112.58161111111112,300.51674166666663,218.71403333333333,196.20472569444442,178.6891527777778,102.8342111111111,103.22699930555555,71.69187013888889,202.60506527777778,541.4055895833333,240.23305833333336,226.78518125,193.26333541666665,136.2129340277778,168.01396527777777
성북구,11290120,동선동5가,6,20220616.166666668,11290575.0,3073.992876388889,66.45542916666666,117.69395069444444,298.06563958333334,222.08712916666664,198.4766298611111,180.61733194444443,101.29268472222222,99.98681180555555,74.70801458333332,209.40844305555555,536.4086604166666,242.29116666666667,228.74835416666667,195.46523125,137.74043819444444,164.5469277777778
성북구,11290120,동선동5가,7,20220616.166666668,11290575.0,3110.6989041666666,74.73061527777777,126.27730694444443,289.6604590277778,210.49384513888887,193.57763333333332,178.21107083333334,101.16950763888889,102.13319652777778,75.65899583333334,248.8765076388889,529.1872826388889,243.01216666666667,225.98978333333332,201.25126874999998,138.951425,171.5178
성북구,11290120,동선동5가,8,20220616.166666668,11290575.0,3164.6638173611113,87.24953125,137.70002916666667,279.47391527777773,200.3771145833333,183.20124375,177.09279375,104.73013750000001,104.5377875,105.74095902777778,295.80924791666666,506.63811458333333,227.5461701388889,227.80026250000003,207.5274798611111,143.0241159722222,176.21493819444444
성북구,11290120,동선동5가,9,20220616.166666668,11290575.0,3168.9892652777776,90.55519375,142.06726180555555,275.0014923611111,197.31446666666665,179.1776111111111,176.2270770833333,102.34454722222222,105.2726548611111,109.85495,305.44559583333336,498.3334458333333,230.00101944444447,229.24238194444445,207.64105069444443,145.4905090277778,175.02003541666667
